Event Ambassador,EA's Home State,Mobile,parkrun Email,Events
Paul Robinson,Ignored,,ignored@dev.null,Dorset Recreation Reserve
,,,,Lillydale Lake
,,,,Darebin
,,,,Warrandyte River Reserve
Susan Kennedy,,,,Albert Melbourne
,,,,Maroondah Dam
,,,,Lewis Park Reserve
,,,,Broken Hill Racecourse
Karl Kennedy,,,,KK Prospect #1
,,,,Mildura Weir
,,,,Lake Boga Foreshore
,,,,Castlemaine
Terese Willis,,,,Kennington Reservoir
,,,,Bendigo Botanic Gardens
,,,,"Wimmera River, Horsham"
,,,,Beaufort Lake
Josh Willis,,,,Wallaby Track
,,,,Goldfields Reservoir
,,,,Prospective
,,,,Bairnsdale
Dipi Rebecchi,,,,Lakes Entrance
,,,,Warragul
,,,,Sale
,,,,Traralgon
Sharon Cummings,,,,Churchill
,,,,Portarlington
,,,,Trebeck Reserve
,,,,Torquay
Toadie Rebecchi,,,,Eastern Gardens
,,,,Balyang Sanctuary
,,,,Ocean Grove
,,,,Euroa
Gemma Recchi,,,,Benalla Botanical Gardens
,,,,You Yangs
,,,,Mansfield Botanic
,,,,Willow
Elly Conway,,,,Cyril Curtain Reserve
,,,,Maribyrnong
,,,,Chelsea Bicentennial
,,,,Mount Beauty
Mark Brennan,,,,Wangaratta
,,,,Albury Wodonga
,,,,Frank Keenan Reserve
,,,,Kilmore Racecourse Walking Track
Ned Willis,,,,Kirkdale Reserve
,,,,Brimbank
,,,,Naracoorte Lake
,,,,Hamilton
Chloe Brennan,,,,Mount Gambier
,,,,Port Fairy
,,,,Lake Wallace
,,,,Pakenham
Mishtu Rebecchi,,,,Birdsland Reserve
,,,,Rosebud
,,,,Inverloch
,,,,Hastings Foreshore
Amy Williams,,,,Dandenong
,,,,Ararat
,,,,Calembeen
,,,,Prince of Wales
Hendrix Greyson,,,,Nhill
,,,,Coburg
,,,,Toolern Creek
,,,,Westerfolds
Zara Canning,,,,Studley
,,,,"Goulburn River Trail, Seymour"
,,,,Lalor
,,,,Puckapunyal
Cameron Robinson,,,,Tallangatta Station
,,,,Yackandandah Rail Trail
,,,,Bright
,,,,Tallangatta Station
Troy Miller,,,,Yackandandah Rail Trail
,,,,Altona Beach
,,,,Woodlands Historic Park
,,,,Point Cook
Harold Bishop,,,,Prospective
,,,,Newport Lakes
,,,,Mernda
,,,,Warrnambool
Maggie Handley,,,,Portland
,,,,Timboon
,,,,Echuca Moama
,,,,Lancefield
Kylie Robinson,,,,Parkville
,,,,Jells
,,,,Karkarook
,,,,Frankston Nature Conservation Reserve
Scott Robinson,,,,Cascades on Clyde Wetlands
,,,,Berwick Waters
,,,,Wilson Botanic
,,,,Shepparton
,,,,Louis Hamon Park
,,,,Kerang Regional
,,,,Cohuna
Beverley Robinson,,,,Nolen's Park
,,,,Cobram
,,,,Nathalia Showgrounds
,,,,Aurora
,,,,BR Closed Event (Shush)
,,,,Eynesbury Heritage Trail juniors
,,,,BR Prospect #1
,,,,Peppertree
Jade Mitchell,,,,JM Closed Event (Shush)
,,,,Sunbury
,,,,JM Prospect #1
,,,,JM Prospect #2
,,,,Wyndham Vale
,,,,Highlands
,,,,Dixon Field
Roxy Willis,,,,Diamond Creek
,,,,Warringal Parklands
,,,,Campaspe
,,,,Bannockburn Bush
,,,,Nagambie Lake
,,,,Newborough
,,,,"Great Southern Rail Trail, Korumburra"
,,,,Gardiners Creek
Daryl Somers,,,,Mullum Mullum
,,,,Phillip Island
,,,,KM Reedy Reserve
,,,,Frog Hollow
,,,,Koonwarra
,,,,"Grand Ridge Rail Trail, Mirboo North"
,,,,Marriott Waters
,,,,Berwick Springs
